,-180.00,0.0000,0.0100,0.0000, 
,-175.00,0.1460,0.0100,0.2000,
,-170.00,0.2920,0.0100,0.4000,
,-160.00,0.5840,0.0192,0.3434,
,-155.00,0.6415,0.1191,0.3450,
,-150.00,0.6990,0.2190,0.3466,
,-145.00,0.6755,0.3424,0.3387,
,-140.00,0.6520,0.4657,0.3308,
,-135.00,0.6185,0.5983,0.3372,
,-130.00,0.5850,0.7308,0.3435,
,-125.00,0.5330,0.8575,0.3532,
,-120.00,0.4810,0.9841,0.3629,
,-115.00,0.4110,1.0906,0.3700,
,-110.00,0.3410,1.1970,0.3770,
,-105.00,0.2580,1.2716,0.3777,
,-100.00,0.1750,1.3462,0.3783,
,-95.00,0.0875,1.3811,0.3704,
,-90.00,0.0000,1.4160,0.3625,
,-85.00,-0.0875,1.3811,0.3397,
,-80.00,-0.1750,1.3462,0.3168,
,-75.00,-0.2580,1.2716,0.2888,
,-70.00,-0.3410,1.1970,0.2607,
,-65.00,-0.4110,1.0906,0.2306,
,-60.00,-0.4810,0.9841,0.2005,
,-55.00,-0.5330,0.8575,0.1710,
,-50.00,-0.5850,0.7308,0.1414,
,-45.00,-0.6185,0.5983,0.1136,
,-40.00,-0.6520,0.4657,0.0858,
,-35.00,-0.6755,0.3424,0.0569,
,-30.00,-0.6990,0.2190,0.0279,
,-25.00,-1.0145,0.1379,-0.0271,
,-24.00,-1.0776,0.1217,-0.0381,
,-23.00,-1.1407,0.1055,-0.0491,
,-22.00,-1.2038,0.0892,-0.0601,
,-21.00,-1.2669,0.0730,-0.0711,
,-20.00,-1.3300,0.0568,-0.0821,
,-19.00,-1.3150,0.0490,-0.0829,
,-18.00,-1.3100,0.0410,-0.0825,
,-17.00,-1.2990,0.0342,-0.0803,
,-16.00,-1.2820,0.0286,-0.0765,
,-15.00,-1.2670,0.0236,-0.0709,
,-14.00,-1.2430,0.0197,-0.0639,
,-13.50,-1.2270,0.0182,-0.0599,
,-13.00,-1.2030,0.0172,-0.0565,
,-12.00,-1.1580,0.0153,-0.0484,
,-11.00,-1.1120,0.0136,-0.0394,
,-10.00,-1.0450,0.0104,-0.0318,
, -9.00,-1.0000,0.0098,-0.0213,
, -8.00,-0.9630,0.0098,-0.0084,
, -7.00,-0.8720,0.0093,-0.0050,
, -6.00,-0.7700,0.0088,-0.0034,
, -5.00,-0.6640,0.0083,-0.0025,
, -4.00,-0.5540,0.0078,-0.0025,
, -3.00,-0.4400,0.0074,-0.0033,
, -2.00,-0.3240,0.0070,-0.0043,
, -1.00,-0.2100,0.0064,-0.0054,
,  0.00,-0.0950,0.0055,-0.0069,
,  1.00,0.0230,0.0055,-0.0089,
,  2.00,0.1430,0.0046,-0.0112,
,  3.00,0.2640,0.0044,-0.0136,
,  4.00,0.3800,0.0045,-0.0155,
,  5.00,0.4890,0.0052,-0.0167,
,  6.00,0.5970,0.0065,-0.0176,
,  7.00,0.7020,0.0077,-0.0180,
,  8.00,0.8070,0.0087,-0.0186,
,  8.50,0.8520,0.0093,-0.0176,
,  9.00,0.8940,0.0099,-0.0163,
,  9.50,0.9350,0.0104,-0.0148,
, 10.00,0.9350,0.0108,-0.0061,
, 10.50,0.9370,0.0113,0.0004,
, 11.00,0.9500,0.0123,0.0053,
, 11.50,0.9490,0.0133,0.0114,
, 12.00,0.9650,0.0149,0.0154,
, 12.50,0.9630,0.0160,0.0208,
, 13.00,0.9820,0.0178,0.0239,
, 13.50,0.9970,0.0189,0.0270,
, 14.00,1.0000,0.0202,0.0307,
, 14.50,1.0190,0.0224,0.0329,
, 15.00,1.0340,0.0238,0.0352,
, 15.50,1.0330,0.0255,0.0380,
, 16.00,1.0510,0.0282,0.0396,
, 16.50,1.0690,0.0298,0.0410,
, 17.00,1.0620,0.0315,0.0429,
, 17.50,1.0790,0.0352,0.0439,
, 18.00,1.0920,0.0372,0.0447,
, 18.50,1.0880,0.0394,0.0455,
, 19.00,1.0900,0.0433,0.0459,
, 19.50,1.1020,0.0467,0.0460,
, 20.00,1.0770,0.0493,0.0452,
, 21.00,1.1060,0.0558,0.0438,
, 22.00,1.0940,0.0615,0.0398,
, 23.00,1.1040,0.0723,0.0353,
, 24.00,1.0760,0.0809,0.0274,
, 25.00,1.0420,0.0954,0.0172,
, 26.00,1.0334,0.0986,0.0068,
, 28.00,1.0162,0.1051,-0.0141,
, 30.00,0.9990,0.1116,-0.0350,
, 32.00,0.9856,0.1331,-0.0493,
, 35.00,0.9655,0.1653,-0.0708,
, 40.00,0.9320,0.2190,-0.1065,
, 45.00,0.8840,0.3424,-0.1354,
, 50.00,0.8360,0.4657,-0.1643,
, 55.00,0.7615,0.5983,-0.1915,
, 60.00,0.6870,0.7308,-0.2187,
, 65.00,0.5870,0.8575,-0.2448,
, 70.00,0.4870,0.9841,-0.2709,
, 75.00,0.3685,1.0906,-0.2954,
, 80.00,0.2500,1.1970,-0.3198,
, 85.00,0.1250,1.2716,-0.3412,
, 90.00,0.0000,1.3462,-0.3625,
, 95.00,-0.0875,1.3811,-0.3704,
,100.00,-0.1750,1.4160,-0.3783,
,105.00,-0.2580,1.3811,-0.3777,
,110.00,-0.3410,1.3462,-0.3770,
,115.00,-0.4110,1.2716,-0.3700,
,120.00,-0.4810,1.1970,-0.3629,
,125.00,-0.5330,1.0906,-0.3532,
,130.00,-0.5850,0.9841,-0.3435,
,135.00,-0.6185,0.8575,-0.3372,
,140.00,-0.6520,0.7308,-0.3308,
,145.00,-0.6755,0.5983,-0.3387,
,150.00,-0.6990,0.4657,-0.3466,
,155.00,-0.6415,0.3424,-0.3450,
,160.00,-0.5840,0.2190,-0.3434,
,170.00,-0.2920,0.0192,-0.5000,
,175.00,-0.1460,0.0146,-0.2500,
,180.00,0.0000,0.0100,0.0000,
